dir,iot,ext,sport,dport,sizeBin,label
1,172.16.6.4,172.16.5.13,6.38788,6.22,M,login
1,172.16.4.8,192.168.1.6,6.56560,6.22,M,login
1,172.16.4.5,192.168.1.6,6.39116,6.22,M,login
1,172.16.7.5,192.168.1.6,6.33224,6.22,M,login
1,172.16.1.3,172.16.7.12,6.55344,6.22,M,login
1,172.16.1.9,192.168.1.41,6.42900,6.22,M,login
1,172.16.2.14,172.16.4.7,6.40276,6.22,M,login
1,172.16.1.12,172.16.5.4,6.48464,6.22,M,login
1,172.16.6.9,172.16.1.9,6.43180,6.22,M,login
1,172.16.4.4,172.16.1.9,6.49824,6.22,M,login
1,172.16.4.4,172.16.5.4,6.42092,6.22,M,login
1,172.16.5.3,172.16.6.12,6.34760,6.22,M,login
1,172.16.2.3,172.16.7.10,6.42112,6.22,M,login
1,172.16.7.6,192.168.1.6,6.38330,6.22,M,login
1,172.16.1.12,172.16.6.11,6.57928,6.22,M,login
1,172.16.2.12,172.16.6.14,6.44818,6.22,M,login
1,172.16.2.13,192.168.1.41,6.52060,6.22,M,login
1,172.16.1.12,172.16.4.10,6.57482,6.22,M,login
1,172.16.2.12,172.16.7.10,6.57822,6.22,M,login
1,172.16.3.12,172.16.5.10,6.34860,6.22,M,login
1,172.16.7.3,172.16.5.14,6.50828,6.22,M,login
1,172.16.7.12,192.168.1.6,6.51072,6.22,M,login
1,172.16.1.12,172.16.4.10,6.57274,6.22,M,login
1,172.16.3.6,172.16.6.11,6.38350,6.22,M,login
1,172.16.1.10,172.16.5.10,6.38428,6.22,M,login
1,172.16.3.4,172.16.4.7,6.55464,6.22,M,login
1,172.16.5.6,172.16.6.14,6.52302,6.22,M,login
1,172.16.1.8,172.16.6.12,6.50220,6.22,M,login
1,172.16.4.14,172.16.3.7,6.56608,6.22,M,login
1,172.16.5.8,172.16.7.10,6.54916,6.22,M,login
1,172.16.3.10,172.16.4.7,6.51176,6.22,M,login
1,172.16.2.3,172.16.4.13,6.43756,6.22,M,login
1,172.16.4.4,172.16.1.9,6.49940,6.22,M,login
1,172.16.3.4,192.168.1.41,6.58930,6.22,M,login
1,172.16.7.12,192.168.1.6,6.51302,6.22,M,login
1,172.16.7.6,172.16.6.12,6.51230,6.22,M,login
1,172.16.2.12,172.16.1.9,6.37012,6.22,M,login
1,172.16.3.10,172.16.4.7,6.51334,6.22,M,login
1,172.16.7.6,172.16.4.7,6.43356,6.22,M,login
1,172.16.3.10,172.16.7.11,6.36702,6.22,M,login
1,172.16.7.6,192.168.1.6,6.37180,6.22,M,login
1,172.16.7.6,172.16.6.12,6.50630,6.22,M,login
1,172.16.6.13,192.168.1.41,6.38832,6.22,M,login
1,172.16.5.3,172.16.6.12,6.34168,6.22,M,login
1,172.16.7.6,172.16.4.7,6.43716,6.22,M,login
1,172.16.4.5,192.168.1.6,6.40282,6.22,M,login
1,172.16.1.13,172.16.5.10,6.52658,6.22,M,login
1,172.16.2.9,192.168.1.41,6.33968,6.22,M,login
1,172.16.5.8,172.16.2.6,6.52430,6.22,M,login
1,172.16.3.10,172.16.4.7,6.51054,6.22,M,login
1,172.16.5.8,172.16.1.9,6.54838,6.22,M,login
1,172.16.5.3,172.16.6.12,6.34010,6.22,M,login
1,172.16.4.5,192.168.1.6,6.40784,6.22,M,login
1,172.16.2.12,172.16.7.10,6.58240,6.22,M,login
1,172.16.6.4,172.16.4.13,6.39204,6.22,M,login
1,172.16.3.10,172.16.7.11,6.36786,6.22,M,login
1,172.16.2.3,172.16.7.10,6.42358,6.22,M,login
1,172.16.2.8,172.16.4.10,6.46908,6.22,M,login
1,172.16.2.13,172.16.4.10,6.56820,6.22,M,login
1,172.16.1.8,172.16.6.12,6.50138,6.22,M,login
1,172.16.3.6,172.16.4.7,6.59568,6.22,M,login
1,172.16.4.14,172.16.5.12,6.51732,6.22,M,login
1,172.16.2.8,172.16.4.10,6.46822,6.22,M,login
1,172.16.4.9,172.16.3.7,6.48512,6.22,M,login
1,172.16.7.6,172.16.4.7,6.42790,6.22,M,login
1,172.16.7.6,172.16.6.12,6.50666,6.22,M,login
1,172.16.2.9,192.168.1.41,6.34000,6.22,M,login
1,172.16.5.8,172.16.2.6,6.51986,6.22,M,login
1,172.16.3.12,172.16.5.10,6.34940,6.22,M,login
1,172.16.2.9,192.168.1.41,6.33858,6.22,M,login
1,172.16.2.14,172.16.4.7,6.39172,6.22,M,login
1,172.16.1.13,172.16.7.9,6.43284,6.22,M,login
1,172.16.1.3,172.16.6.11,6.50044,6.22,M,login
1,172.16.2.3,172.16.7.10,6.42292,6.22,M,login
